length,matching_type,time,match
1,regex,4.9100000000024124e-05,False
1,nfa,2.650000000059549e-05,False
1,dfa,3.200000000092018e-06,False
11,regex,0.004166500000000184,False
11,nfa,0.000253300000000678,False
11,dfa,6.700000000137152e-06,False
21,regex,0.04143510000000106,False
21,nfa,0.0007383999999994728,False
21,dfa,1.0999999998873022e-05,False
31,regex,0.16345229999999944,False
31,nfa,0.0007102000000003272,False
31,dfa,1.3600000000835166e-05,False
41,regex,0.4583667000000009,False
41,nfa,0.0009391999999994738,False
41,dfa,1.6300000000413206e-05,False
51,regex,1.0494160000000008,False
51,nfa,0.0011622999999989503,False
51,dfa,1.9399999999336615e-05,False
61,regex,2.0733697000000006,False
61,nfa,0.0013879000000009967,False
61,dfa,2.2700000000597242e-05,False
71,regex,3.7164890999999987,False
71,nfa,0.0016064999999976237,False
71,dfa,2.719999999811762e-05,False
81,regex,6.208203000000001,False
81,nfa,0.0017955999999976768,False
81,dfa,3.0200000001201488e-05,False
91,regex,9.811605199999999,False
91,nfa,0.002015399999997669,False
91,dfa,3.300000000194814e-05,False
101,regex,15.1747133,False
101,nfa,0.0022334000000014953,False
101,dfa,3.600000000147929e-05,False
